"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"126","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","75","Found 'DD'-anomaly for variable 'SP' (lines '75'-'79').","Controversial Rules","DataflowAnomalyAnalysis"
"127","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","79","Found 'DD'-anomaly for variable 'SP' (lines '79'-'83').","Controversial Rules","DataflowAnomalyAnalysis"
"128","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","83","Found 'DD'-anomaly for variable 'SP' (lines '83'-'87').","Controversial Rules","DataflowAnomalyAnalysis"
"129","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","87","Found 'DD'-anomaly for variable 'SP' (lines '87'-'91').","Controversial Rules","DataflowAnomalyAnalysis"
"130","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","91","Found 'DD'-anomaly for variable 'SP' (lines '91'-'103').","Controversial Rules","DataflowAnomalyAnalysis"
"131","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","91","Found 'DD'-anomaly for variable 'SP' (lines '91'-'107').","Controversial Rules","DataflowAnomalyAnalysis"
"132","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","91","Found 'DD'-anomaly for variable 'SP' (lines '91'-'111').","Controversial Rules","DataflowAnomalyAnalysis"
"133","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","91","Found 'DD'-anomaly for variable 'SP' (lines '91'-'115').","Controversial Rules","DataflowAnomalyAnalysis"
"134","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","91","Found 'DD'-anomaly for variable 'SP' (lines '91'-'95').","Controversial Rules","DataflowAnomalyAnalysis"
"135","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","91","Found 'DD'-anomaly for variable 'SP' (lines '91'-'99').","Controversial Rules","DataflowAnomalyAnalysis"
"136","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","95","Found 'DD'-anomaly for variable 'SP' (lines '95'-'103').","Controversial Rules","DataflowAnomalyAnalysis"
"137","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","95","Found 'DD'-anomaly for variable 'SP' (lines '95'-'107').","Controversial Rules","DataflowAnomalyAnalysis"
"138","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","95","Found 'DD'-anomaly for variable 'SP' (lines '95'-'111').","Controversial Rules","DataflowAnomalyAnalysis"
"139","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","95","Found 'DD'-anomaly for variable 'SP' (lines '95'-'115').","Controversial Rules","DataflowAnomalyAnalysis"
"140","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","95","Found 'DD'-anomaly for variable 'SP' (lines '95'-'119').","Controversial Rules","DataflowAnomalyAnalysis"
"141","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","95","Found 'DD'-anomaly for variable 'SP' (lines '95'-'123').","Controversial Rules","DataflowAnomalyAnalysis"
"142","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","95","Found 'DD'-anomaly for variable 'SP' (lines '95'-'127').","Controversial Rules","DataflowAnomalyAnalysis"
"143","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","95","Found 'DD'-anomaly for variable 'SP' (lines '95'-'131').","Controversial Rules","DataflowAnomalyAnalysis"
"144","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","95","Found 'DD'-anomaly for variable 'SP' (lines '95'-'99').","Controversial Rules","DataflowAnomalyAnalysis"
"145","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","99","Found 'DD'-anomaly for variable 'SP' (lines '99'-'103').","Controversial Rules","DataflowAnomalyAnalysis"
"146","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","99","Found 'DD'-anomaly for variable 'SP' (lines '99'-'107').","Controversial Rules","DataflowAnomalyAnalysis"
"147","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","99","Found 'DD'-anomaly for variable 'SP' (lines '99'-'111').","Controversial Rules","DataflowAnomalyAnalysis"
"148","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","99","Found 'DD'-anomaly for variable 'SP' (lines '99'-'115').","Controversial Rules","DataflowAnomalyAnalysis"
"149","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","99","Found 'DD'-anomaly for variable 'SP' (lines '99'-'119').","Controversial Rules","DataflowAnomalyAnalysis"
"150","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","99","Found 'DD'-anomaly for variable 'SP' (lines '99'-'123').","Controversial Rules","DataflowAnomalyAnalysis"
"151","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","99","Found 'DD'-anomaly for variable 'SP' (lines '99'-'127').","Controversial Rules","DataflowAnomalyAnalysis"
"152","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","99","Found 'DD'-anomaly for variable 'SP' (lines '99'-'131').","Controversial Rules","DataflowAnomalyAnalysis"
"153","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","103","Found 'DD'-anomaly for variable 'SP' (lines '103'-'107').","Controversial Rules","DataflowAnomalyAnalysis"
"154","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","103","Found 'DD'-anomaly for variable 'SP' (lines '103'-'111').","Controversial Rules","DataflowAnomalyAnalysis"
"155","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","103","Found 'DD'-anomaly for variable 'SP' (lines '103'-'115').","Controversial Rules","DataflowAnomalyAnalysis"
"156","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","103","Found 'DD'-anomaly for variable 'SP' (lines '103'-'119').","Controversial Rules","DataflowAnomalyAnalysis"
"157","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","103","Found 'DD'-anomaly for variable 'SP' (lines '103'-'123').","Controversial Rules","DataflowAnomalyAnalysis"
"158","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","103","Found 'DD'-anomaly for variable 'SP' (lines '103'-'127').","Controversial Rules","DataflowAnomalyAnalysis"
"159","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","103","Found 'DD'-anomaly for variable 'SP' (lines '103'-'131').","Controversial Rules","DataflowAnomalyAnalysis"
"160","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","107","Found 'DD'-anomaly for variable 'SP' (lines '107'-'111').","Controversial Rules","DataflowAnomalyAnalysis"
"161","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","107","Found 'DD'-anomaly for variable 'SP' (lines '107'-'115').","Controversial Rules","DataflowAnomalyAnalysis"
"162","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","107","Found 'DD'-anomaly for variable 'SP' (lines '107'-'119').","Controversial Rules","DataflowAnomalyAnalysis"
"163","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","107","Found 'DD'-anomaly for variable 'SP' (lines '107'-'123').","Controversial Rules","DataflowAnomalyAnalysis"
"164","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","107","Found 'DD'-anomaly for variable 'SP' (lines '107'-'127').","Controversial Rules","DataflowAnomalyAnalysis"
"165","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","107","Found 'DD'-anomaly for variable 'SP' (lines '107'-'131').","Controversial Rules","DataflowAnomalyAnalysis"
"166","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","111","Found 'DD'-anomaly for variable 'SP' (lines '111'-'115').","Controversial Rules","DataflowAnomalyAnalysis"
"167","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","111","Found 'DD'-anomaly for variable 'SP' (lines '111'-'119').","Controversial Rules","DataflowAnomalyAnalysis"
"168","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","111","Found 'DD'-anomaly for variable 'SP' (lines '111'-'123').","Controversial Rules","DataflowAnomalyAnalysis"
"169","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","111","Found 'DD'-anomaly for variable 'SP' (lines '111'-'127').","Controversial Rules","DataflowAnomalyAnalysis"
"170","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","111","Found 'DD'-anomaly for variable 'SP' (lines '111'-'131').","Controversial Rules","DataflowAnomalyAnalysis"
"171","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","115","Found 'DD'-anomaly for variable 'SP' (lines '115'-'119').","Controversial Rules","DataflowAnomalyAnalysis"
"172","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","115","Found 'DD'-anomaly for variable 'SP' (lines '115'-'123').","Controversial Rules","DataflowAnomalyAnalysis"
"173","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","115","Found 'DD'-anomaly for variable 'SP' (lines '115'-'127').","Controversial Rules","DataflowAnomalyAnalysis"
"174","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","115","Found 'DD'-anomaly for variable 'SP' (lines '115'-'131').","Controversial Rules","DataflowAnomalyAnalysis"
"175","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","119","Found 'DD'-anomaly for variable 'SP' (lines '119'-'123').","Controversial Rules","DataflowAnomalyAnalysis"
"176","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","119","Found 'DD'-anomaly for variable 'SP' (lines '119'-'127').","Controversial Rules","DataflowAnomalyAnalysis"
